species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Melaniparus guineensis,Paridae,Passeriformes,16.1,4677095.83,1900,5.6449,White-shouldered black tit,63.6,8
Melaniparus leucomelas,Paridae,Passeriformes,16.1,2587731.88,1840,6.1202,White-winged black tit,85.4,6
Melaniparus leuconotus,Paridae,Passeriformes,16.7,357687.8,1843,6.1534,White-backed black tit,53.44,9
Melaniparus niger,Paridae,Passeriformes,21.5,2180649.32,1818,5.9452,Southern black tit,234.59,11
Melaniparus thruppi,Paridae,Passeriformes,12.0,869174.26,1885,5.6556,Acacia tit,109.88,5
Melanitta americana,Anatidae,Anseriformes,1117.0,3674284.73,1832,5.7895,Black scoter,1134.92,57
Melanitta deglandi,Anatidae,Anseriformes,1800.17,4842634.82,1850,5.6477,White-winged scoter,982.82,85
Melanitta fusca,Anatidae,Anseriformes,1800.17,5118144.61,1758,4.5242,Velvet scoter,623.8,207
Melanitta nigra,Anatidae,Anseriformes,1049.98,4515415.5,1758,5.1075,Common scoter,756.62,157
Melanitta perspicillata,Anatidae,Anseriformes,1096.33,4808381.84,1758,5.3057,Surf scoter,1561.22,126
Melanitta stejnegeri,Anatidae,Anseriformes,1800.17,6485999.47,1887,6.4175,Stejneger's scoter,254.56,27
Melanocharis arfakiana,Melanocharitidae,Passeriformes,11.5,9004.63,1900,5.3847,Obscure berrypecker,35.02,7
Melanocharis longicauda,Melanocharitidae,Passeriformes,11.95,100278.19,1876,5.4106,Mid-mountain berrypecker,26.79,7
Melanocharis nigra,Melanocharitidae,Passeriformes,14.16,458523.98,1830,5.3239,Black berrypecker,30.46,10
Melanocharis striativentris,Melanocharitidae,Passeriformes,17.58,86837.53,1895,5.0103,Streaked berrypecker,26.66,9
Melanocharis versteri,Melanocharitidae,Passeriformes,14.67,148463.41,1876,6.2702,Fan-tailed berrypecker,31.27,13
Melanochlora sultanea,Paridae,Passeriformes,37.6,1656290.7,1837,7.2871,Sultan tit,353.64,15
Melanocorypha bimaculata,Alaudidae,Passeriformes,54.1,3368485.69,1832,4.8745,Bimaculated lark,232.82,49
Melanocorypha calandra,Alaudidae,Passeriformes,61.6,5323937.62,1766,5.554,Calandra lark,471.43,91
Melanocorypha maxima,Alaudidae,Passeriformes,74.99,1042885.9,1867,4.6096,Tibetan lark,59.41,17
Melanocorypha mongolica,Alaudidae,Passeriformes,53.94,3449137.1,1776,5.1009,Mongolian lark,87.07,37
Melanocorypha yeltoniensis,Alaudidae,Passeriformes,59.93,2093596.82,1768,4.7464,Black lark,158.79,24
Melanodera melanodera,Thraupidae,Passeriformes,28.7,145980.07,1824,6.1522,White-bridled finch,80.88,19
Melanodera xanthogramma,Thraupidae,Passeriformes,35.07,353522.86,1839,5.9742,Yellow-bridled finch,51.0,20
Melanodryas cucullata,Petroicidae,Passeriformes,21.1,6352636.74,1802,6.46,Hooded robin,174.22,17
Melanodryas vittata,Petroicidae,Passeriformes,26.6,68050.36,1830,5.5456,Dusky robin,115.14,12
Melanopareia elegans,Melanopareiidae,Passeriformes,16.0,81037.63,1844,6.6125,Elegant crescentchest,37.16,14
Melanopareia maranonica,Melanopareiidae,Passeriformes,23.0,10057.19,1924,6.8007,Marañón crescentchest,30.29,14
Melanopareia maximiliani,Melanopareiidae,Passeriformes,18.0,752374.15,1835,6.5803,Olive-crowned crescentchest,33.1,15
Melanopareia torquata,Melanopareiidae,Passeriformes,17.2,2770968.6,1831,6.506,Collared crescentchest,48.29,27
Melanoptila glabrirostris,Mimidae,Passeriformes,35.4,178149.45,1858,5.7038,Black catbird,525.84,32
Melanorectes nigrescens,Pachycephalidae,Passeriformes,76.9,131590.72,1871,4.6613,Black pitohui,87.04,13
Melanospiza bicolor,Thraupidae,Passeriformes,9.8,269426.8,1766,5.4869,Black-faced grassquit,312.82,12
Melanospiza richardsoni,Thraupidae,Passeriformes,20.9,293.36,1886,5.4538,Saint Lucia black finch,87.78,22
Melanotis caerulescens,Mimidae,Passeriformes,61.57,577099.95,1827,5.5802,Blue mockingbird,447.61,36
Melanotis hypoleucus,Mimidae,Passeriformes,68.0,98583.12,1852,5.4765,Blue-and-white mockingbird,206.18,27
Meleagris gallopavo,Phasianidae,Galliformes,5791.37,7259958.92,1758,4.1189,Wild turkey,23675.86,1023
Meleagris ocellata,Phasianidae,Galliformes,5525.0,141592.72,1820,4.9826,Ocellated turkey,5377.67,68
Meliarchus sclateri,Meliphagidae,Passeriformes,66.77,3338.04,1870,5.6321,Makira honeyeater,29.27,8
Melichneutes robustus,Indicatoridae,Piciformes,54.2,2772579.96,1909,4.4672,Lyre-tailed honeyguide,54.56,7
Melidectes belfordi,Meliphagidae,Passeriformes,73.14,124314.41,1890,5.282,Belford's melidectes,36.15,11
