sta,lat,lon,ve,vn,sve,svn,dur_yr,ngl_plate
TN23,35.919642,-84.999332,-0.014279,0.001389,0.000119,0.000145,18.6201,NA
TN24,36.134367,-85.499402,-0.013723,0.001102,0.000143,0.000132,18.6201,NA
TN25,35.367076,-86.189113,-0.013565,0.000769,0.000132,0.000133,18.5928,NA
TN26,35.443096,-84.630101,-0.013911,0.001275,0.000126,0.000128,16.7036,NA
TN27,36.39601,-85.317482,-0.014055,0.001783,0.000152,0.000171,16.6927,NA
TN28,35.701564,-85.745428,-0.013861,0.000908,0.000130,0.000144,16.6927,NA
TN29,35.246194,-84.568379,-0.013603,0.001439,0.000154,0.000165,15.8741,NA
TN30,35.55163,-87.573955,-0.013780,0.000261,0.000145,0.000136,16.0137,NA
TN31,36.1703,-86.870671,-0.014102,0.000516,0.000134,0.000139,18.6201,NA
TN32,36.39683,-86.405474,-0.013888,0.000778,0.000143,0.000132,18.6201,NA
TN33,36.558706,-87.31945,-0.014166,0.000229,0.000142,0.000125,18.6201,NA
TN34,35.426318,-86.712196,-0.013945,0.000679,0.000119,0.000139,18.6201,NA
TN35,36.103938,-87.622654,-0.014112,0.000277,0.000141,0.000139,18.6174,NA
